antibiotic_local,atb_norm
CEFOTAXIME,cefotaxime
CIPROFLOXACINE,ciprofloxacine
IMIPENEME,imipeneme
AMOX + AC CLAV,amoxicilline_acide_clavulanique
OXACILLINE,oxacilline
CEFTAZIDIME,ceftazidime
PIPERACILLINE + TAZO,piperacilline_tazobactam
VANCOMYCINE,vancomycine
