"atb_norm_source","atb_norm_target"
"c3g_class","cefotaxime"
"c3g_class","ceftriaxone"
"c3g_class","ceftazidime"
"fluoroquinolones_class","ofloxacine"
"fluoroquinolones_class","levofloxacine"
"fluoroquinolones_class","ciprofloxacine"
"fosfomycine_class","fosfomycine_iv"
"fosfomycine_class","fosfomycine_trometamol"
